"COD_LOJA","plu","NOM_SECAO","NOM_CATEG","NOM_SUBCATEG","NOM_GRUPO","NOM_SUBGRUPO","NOM_PROD","FILL.P","N.DAYS","S.DAYS","N.TRANS","PROFIT"
2435,120951,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","FRIO DE AVE MANIPULADO","PEITO DE AVE MANIPULADO","PTO PERU C/CAS DEF LIG SEARA FAT",2.03,394,8,9,82.37
2435,42659,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","BARRIGA SUINA RESF KG (CORTE)",78.57,756,594,1476,18533.75
2435,131124,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","COPA LOMBO SUINO RESF KG (CORTE)",80.56,756,609,1626,19129.11
2435,16926,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","PERNIL SUINO ESPECIAL S/O KG CORTE",78.54,755,593,1765,19556.48
2435,447713,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","ESCALOPE FILE SUINO RESF KG CORTE",31.48,756,238,342,3152.69
2435,280860,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","COXAO MOLE SUINO RESF KG (CORTE)",5.25,724,38,55,525.94
2435,16087,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","LOMBO SUINO FATIADO RESF KG (CORTE)",82.54,756,624,1767,16540.67
2435,10191,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","COSTELA SUINA FATIADA RESF KG CORTE",80.42,756,608,1901,33988.76
2435,222945,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","PICANHA SUINA RESF KG (CORTE)",4.62,584,27,29,367.26
2435,471114,"CARNES E AVES","CARNES","AVES","AVES-RESFRIADAS","RESF - CORTES FRANGO TEMPERADO GENERICO","FILE DE PEITO FGO TEMP RESF KG",53.77,755,406,699,9005.58
2435,92388,"CARNES E AVES","CARNES","AVES","AVES-RESFRIADAS","RESF - CORTES ESPECIAIS FRANGO","CUBOS DE PEITO FGO RESF P/FONDU  KG",25.23,745,188,270,2995.61
2435,31240,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","FILE MIGNON SUINO RESF KG (CORTE)",66.89,752,503,1212,17224.16
2435,74667,"CARNES E AVES","CARNES","AVES","AVES-RESFRIADAS","RESF - CORTES FRANGO GENERICO","SOBRECOXA FGO RESF GNEL KG (COXA)KG",7.05,709,50,65,771.36
2435,12249,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","LOMBO SUINO RESF KG (CORTE)",54.7,755,413,667,14510.57
2435,10528,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","COSTELA SUINA RESF KG (CORTES)",50.13,754,378,849,17331.59
2435,65795,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","PALETA SUINA C/OSSO RESF KG (CORTE)",20.99,505,106,167,1991.66
